Emilia Cimpian,Michal Zaremba,Christoph Bussler,Armin Haller,M. Omair Shafiq,Tomas Vitvar,Matthew Moran
Jun Fang,Yanbo Han
Bing Xie,Liang-Jie Zhang,Ge Li
Adnene Guabtni,Fabio Casati,Claude Godart,Boualem Benatallah
Michael F. Nowlan,M. Brian Blake
Zongfen Han,Song Wu
Jian Yang,Marco Aiello,Marco Pistore,Richard Hull,Bart Orriens,Chengfei Liu,Willem-Jan van den Heuvel,Aphrodite Tsalgatidou,Christoph Bussler,Pin Chen,Mike P. Papazoglou,Lai Xu
Trieu C. Chieu,Thao Nguyen,Thomas Kwok,Pawan Chowdhary,Jih-Shyr Yih,Shyh-Kwei Chen,Santhosh Kumaran
Zhongnan Shen,Jianwen Su,Firat Kart,Cagdas Evren Gerede
Thomi Pilioura,Aphrodite Tsalgatidou
E. Michael Maximilien,Nirmit Desai
Sanjiva Weerawarana,Rania Khalaf,Giacomo Piccinelli,Francisco Curbera,Nirmal Mukhi,Frank Leymann
Luciano Garcia-Banuelos,Marlon Dumas,Gero Decker,Remco M. Dijkman
Sang-goo Lee,Dongkyu Kim,Hyunja Lee,Christoph Bussler,Juhnyoung Lee,Simon S. Y. Shim
Dong-Ho Kim,Yelena Yesha
Liana Fong,Balaji Viswanathan,Zhile Zou,Ru Fang,Wei Tan
Ismailcem Budak Arpinar,Satya Sanket Sahoo,Jorge Cardoso,Wil M. P. van der Aalst,Zongwei Luo,Farshad Hakimpour
Kyriakos Kritikos,Marco Comuzzi,Pierluigi Plebani
Melissa J. Buco,Edward So,Larisa Shwartz
Emil Lupu,Zoran Milosevic
Balaji Viswanathan,Amit Anil Nanavati
Paavo Kotinurmi,Armin Haller,Matthew Moran,Tomas Vitvar
Nomane Ould Ahmed M'Bareck,Samir Tata,Zakaria Maamar
Michael C. Jaeger,Manfred Reichert,M. Brian Blake,Kurt Geihs,Andreas Wombacher,Gregor Rojec-Goldmann,William Kwok-Wai Cheung
Wei Ding,Chunhua Tian,Juhnyoung Lee,Rongzeng Cao,Rama Akkiraju
Huiye Ma,Ho-fung Leung
Zaki Malik,Athman Bouguettaya
Mathias Weske,Frank Puhlmann,Harald Meyer,Gero Decker,Francisco Curbera,Michael zur Muehlen,Frank Leymann,Wil M. P. van der Aalst,Dominik Kuropka
James Caverlee,Liang-Jie Zhang,Calton Pu,Joonsoo Bae,Mudhakar Srivatsa
Cesare Pautasso,Arne-Jorgen Berre,Aphrodite Tsalgatidou,Frank Leymann,Jochen Malte Kuster
Alexander Pikovsky,Martin Bichler
Martin Bichler,Ho Soo Lee,J. Leon Zhao,Christine Kiss,Kwei-Jay Lin,Juhnyoung Lee,Jen-Yao Chung,Jayant Kalagnanam
Casey K. Fung,Guijun Wang,Patrick C. K. Hung,Changzhou Wang
Dimka Karastoyanova,Frank Leymann
Bharat Kumar,Jianwen Su,Richard Hull,Sriram Varadarajan,Gang Zhou
William Kwok-Wai Cheung,M. Brian Blake,Andreas Wombacher
John Y. Sayah,Henry Chang,Liang-Jie Zhang,Zongwei Luo,Santhosh Kumaran
John Zic,Savas Parastatidis,Paul Greenfield
Santhosh Kumaran,Heiko Ludwig,Jun-Jang Jeng,Richard Goodwin,Mathews Thomas,Zongwei Luo,Ying Huang,Anil Nigam,Henry Chang,Liangzhao Zeng,Kamal Bhattacharya,Jen-Yao Chung,Carolyn McGregor,Rama Akkiraju,Jayant Kalagnanam,Jih-Shyr Yih
Athman Bouguettaya,David Edmond,Mike P. Papazoglou,Brahim Medjahed,Boualem Benatallah
Pierluigi Plebani,Matteo Miraz,Enzo Colombo,Marco Comuzzi,Nirmal Mukhi,Danilo Ardagna,Massimo Mecella,Sam Guinea
Phillipa Oaks,David Edmond,Marlon Dumas,Alistair P. Barros
Heiko Ludwig,Alexander Lazovik,Larisa Shwartz,Anil Nigam,Kamal Bhattacharya,Christoph Bussler,Yigal Hoffner,Asit Dan,Paul W. P. J. Grefen
Olaf Kath,Maarten Wegdam,Harald Bohme,Motohisa Funabashi,Klaus-Peter Eckert
Arne-Jorgen Berre,Christian Hahn,Aphrodite Tsalgatidou
Jianwen Su,Gang Zhou,Cagdas Evren Gerede,Richard Hull,Kamal Bhattacharya,Ozgur D. Sahin,Cagdas E. Gerede,Jorge Cardoso
Barrett R. Bryant,Yuehong Liao,Omkar J. Tilak,Carol C. Burt,Li Li,Kamal Bhattacharya
Norihisa Komoda,Motohisa Funabashi
Herman Lam,Haifei Li,Patrick C. K. Hung,Liang-Jie Zhang
Jia Zhang,Haifei Li,Hong Cai,Patrick C. K. Hung,Liang-Jie Zhang,Ephraim Feig,Jen-Yao Chung,Norman W. Y. Shao
Henry Chang,Jun-Jang Jeng,Boualem Benatallah,Ying Huang,Hui Lei,Marlon Dumas,Liangzhao Zeng,Jen-Yao Chung,Haifei Li,Shyh-Kwei Chen,Liang-Jie Zhang,Pawan Chowdhary,Jayant Kalagnanam,Rama Akkiraju,Hong Cai,Josef Schiefer
Guenter Kickinger,Jurgen Hofer
Ge Li,Liang-Jie Zhang
Calton Pu,Vanish Talwar,Yan Wang,Aad P. A. van Moorsel,Li Xiong,Mudhakar Srivatsa,Mike P. Papazoglou,Hemant K. Jain,Qinyi Wu,M. Brian Blake
Barbara Carminati,Patrick C. K. Hung
Dirk Werth,Jorg Ziemann,Otmar Adam
Jih-Shyr Yih,Pawan Chowdhary,Shyh-Kwei Chen
Mike P. Papazoglou,Alexander Lazovik,Marco Aiello,Marco Pistore,Bart Orriens,Frank Leymann,Willem-Jan van den Heuvel,Elisabetta Di Nitto,Aphrodite Tsalgatidou,David Edmond,Salima Benbernou,Schahram Dustdar
Irene Chen,Norman W. Y. Shao
Han-Shen Huang,Kwei-Jay Lin
Christian Hahn,Michael Klein
Benjamin Yen,Zongwei Luo
Raman Kazhamiakin,Marco Pistore,Sam Guinea
Giuliano Di Vitantonio,Mathias Salle,Giacomo Piccinelli
Remco M. Dijkman,Marten van Sinderen,Luis Ferreira Pires,Jan Mendling,Boudewijn F. van Dongen,Joao Paulo A. Almeida,Dick A. C. Quartel,Marlon Dumas,Gero Decker
Andrea Zisman,Khaled Mahbub,George Spanoudakis,Elisabetta Di Nitto,Yanbo Han
Mathews Thomas,Ying Huang
Kurt Geihs,Steffen Bleul,Michael Zapf,Gregor Rojec-Goldmann
Matthias Merdes,Colin Atkinson
Giuseppe Berio,Nacer Boudjlida
Joonsoo Bae,Hajo A. Reijers,Suk-Ho Kang,Liang-Jie Zhang
Richard Hull,Gang Zhou,Massimo Mecella,Akhil Kumar,Cagdas Evren Gerede,Kamal Bhattacharya,Sriram Varadarajan
Mariano Belaunde,Joao Paulo A. Almeida,Ida Solheim,Luis Ferreira Pires,Maria Jose Presso
Hairong Yu,Boualem Benatallah
Thomas Bauer,Stefanie Rinderle,Manfred Reichert
Song Wu,Li Zha,Chunming Hu,Zongwei Luo
Giacomo Piccinelli,Mathias Salle,David Trastour,Andrew Byde,Frank Leymann
Hui Lei,Jun-Jang Jeng,Boualem Benatallah,Anand Ranganathan,Pu Huang,Liangzhao Zeng,Lipyeow Lim,Jen-Yao Chung,Shyh-Kwei Chen,Pawan Chowdhary
Willem-Jan van den Heuvel,Bart Orriens,Frank Leymann,Vincenzo D'Andrea,Zakaria Maamar
Niels Lohmann,Gero Decker,Frank Leymann,Wil M. P. van der Aalst,Alistair P. Barros
Theodosis Dimitrakos,Zoran Milosevic,Stefan Wesner,Pablo Giambiagi
Yuhong Yan,Zakaria Maamar
Alain Wegmann,Bryan Wood
Frank Puhlmann,Gero Decker
Markus Nuttgens,Jan Mendling,Oliver Thomas
Jan Mendling,Boudewijn F. van Dongen,Hajo A. Reijers,Marlon Dumas,Marcello La Rosa,Manfred Reichert,Wil M. P. van der Aalst,Michael zur Muehlen,Jorge Cardoso,Gero Decker,Carlo Simon
Samir Tata,Schahram Dustdar,Claude Godart,Zakaria Maamar
Hong Cai,Liang-Jie Zhang,Hui Su,Jen-Yao Chung
Donald F. Ferguson,Thomas A. Mikalsen,Francisco Curbera
Hua Zhong,Shuchao Wan,Jun Wei
Armin Haller,Christoph Bussler,Matthew Moran,Tomas Vitvar
Patricia Dockhorn Costa,Marten van Sinderen,Maarten Wegdam,Joao Paulo A. Almeida,Luis Ferreira Pires,Stanislav Pokraev
Bogdan Franczyk,Andre Ludwig
Ephraim Feig,Liang-Jie Zhang,Ali Arsanjani,Hemant K. Jain
Octavian Patrascoiu,David H. Akehurst
Nirmal Mukhi,Anis Charfi,Madhusudhan Govindaraju,Axel Martens,Francisco Curbera,Rania Khalaf,Ali Arsanjani,Fumiko Satoh
Beihong Jin,Jun Wei,Xin Zhang,Wei Xu
Oliver Thomas,Otmar Adam
Rania Khalaf,Thomas A. Mikalsen,Anis Charfi,Francisco Curbera,Frank Leymann
Asit Dan,Paul W. P. J. Grefen,Thao Nguyen,Jen-Yao Chung
Lai Xu,Paul W. P. J. Grefen
Matthew Moran,Michal Zaremba,Christoph Bussler,M. Omair Shafiq,Dumitru Roman,Tomas Vitvar
Thomas Kwok,Thao Nguyen,Ajay Mohindra
Jun Wei,Shuchao Wan,Lei Li,Wei Xu
Thomas A. Mikalsen,Nirmit Desai,Mudhakar Srivatsa
Karthikeyan Ponnalagu,Nanjangud C. Narendra
Lei Li,Yan Wang,Mingtian Zhou
Amit Anil Nanavati,Arun Kumar
Yulian Fei,Zongwei Luo
Marten van Sinderen,Luis Ferreira Pires,Stanislav Pokraev,Joao Paulo A. Almeida,Dick A. C. Quartel,Nikolay K. Diakov,Val Jones,Maarten Wegdam
Paul W. P. J. Grefen,Yigal Hoffner
Yuxin Mao,William K. Cheung
Gwen Salaun,Andrea Ferrara,Massimo Mecella
Matthias Wagner,Massimo Paolucci
Jackson He,Bingnan Xiao,Yinong Chen
William Song,Jen-Yao Chung
Jayant Kalagnanam,Jun-Jang Jeng,Boualem Benatallah,Richard Goodwin,Liangzhao Zeng,Marlon Dumas,Juhnyoung Lee,Ho Soo Lee
Nanjangud C. Narendra,Bart Orriens,Nirmit Desai,Zakaria Maamar
Frank Leymann,Jochen Malte Kuster,Marlon Dumas,Wil M. P. van der Aalst,Francisco Curbera,Salima Benbernou,Schahram Dustdar,Guadalupe Ortiz,Gero Decker
Yan Jin,Yanbo Han
Chunming Hu,Li Zha,Zongxia Du,Jinpeng Huai
Georg Grossmann,Yun Yang,Jun Shen
Ozgur D. Sahin,Cagdas Evren Gerede
Cagdas E. Gerede,Jun-Jang Jeng,Kamal Bhattacharya
Yang Ouyang,Steven Miller,Jen-Yao Chung
Radu Jurca,Walter Binder
Min-Hua Shi,Qun Zhou,Liang-Jie Zhang
Sam Guinea,Marco Pistore,Elisabetta Di Nitto
Schahram Dustdar,Florian Rosenberg,Massimo Mecella,Marco Aiello,Zakaria Maamar,Chirine Ghedira,Marlon Dumas,Wil M. P. van der Aalst,Clemens Kerer,Vincenzo D'Andrea,Michael Weiss
Jian Wu,Wei Shi,Ying Li
Sriram Anand,Srinivas Padmanabhuni,Abdelkarim Erradi
Herve Panetto,Nacer Boudjlida
Anwitaman Datta,Andreas Wombacher
Ajay Bansal,M. Brian Blake
Wu Chou,Li Li
Xin Lin,Wei Shi
M. Brian Blake,Michael zur Muehlen,Andreas Wombacher,Hemant K. Jain
Rainer Berbner,Anis Charfi,Michael Spahn
William K. Cheung,Dickson K. W. Chiu,Patrick C. K. Hung,Eleanna Kafeza,Zongwei Luo
Martin Schader,Colin Atkinson
Qun Zhou,Liang-Jie Zhang,Jen-Yao Chung
Zongwei Luo,Feilong Tang,Jorge Cardoso
Josef Schiefer,Jun-Jang Jeng,Pawan Chowdhary,Jen-Yao Chung,Liangzhao Zeng,Carolyn McGregor
Bendick Mahleko,Andreas Wombacher
Freddy Lecue,Marco Pistore,Luis Ferreira Pires
Andre Ludwig,Xuan Thang Nguyen,Marek Kowalkiewicz
Monika Solanki,Massimo Paolucci
Steven Miller,Jen-Yao Chung
Zoran Milosevic,Kerry Raymond,Olivera Marjanovic,Shazia Wasim Sadiq,Peter F. Linington,Alistair P. Barros
Fu-ren Lin,Yan Wang
Colin Atkinson,Manfred Reichert,Stefanie Rinderle
Eleanna Kafeza,Dickson K. W. Chiu,Ho-fung Leung,Patrick C. K. Hung
Khaled Mahbub,George Spanoudakis
Anca-Andreea Ivan,Richard Goodwin,Mao Chen,Juhnyoung Lee,Rama Akkiraju
Ying Huang,Xin Zhang,Haiqi Liang,Liangzhao Zeng,Chi-Hung Chi,Jen-Yao Chung,Hui Su,Kuo-Ming Chao
Pu Huang,Pawan Chowdhary,Lipyeow Lim
Rieko Yamamoto,Pascal van Eck
Christoph Bussler,Michal Zaremba,Dumitru Roman,Massimo Paolucci,Simon S. Y. Shim,Juhnyoung Lee,Wil M. P. van der Aalst,Jorge Cardoso
Yugyung Lee,Soon Ae Chun
Danilo Ardagna,Marco Comuzzi
Matthew Arrott,Nirmit Desai
Jorge Cardoso,Hajo A. Reijers,Wil M. P. van der Aalst
Weihua Zhu,Yinong Chen
Naijie Gu,An Liu,Dickson K. W. Chiu
Olivier Perrin,Mohsen Rouached,Nacer Boudjlida,Claude Godart,Boualem Benatallah
Hongbing Wang,Patrick C. K. Hung
Prashant Doshi,Richard Goodwin,Girish Chafle,Kunal Verma,Rama Akkiraju
Massimo Mecella,Enzo Colombo,Federica Paci
Gero Decker,Marlon Dumas,Alistair P. Barros
Ho Soo Lee,Juhnyoung Lee
Piyush Maheshwari,Vladimir Tosic,Abdelkarim Erradi
Yun Yang,Xuan Thang Nguyen,Chengfei Liu,Li Li,Xiao Liu,Jun Shen
Rama Akkiraju,Richard Goodwin,Jen-Yao Chung,Juhnyoung Lee,Kunal Verma,Liang-Jie Zhang,Chunhua Tian
Francisco Curbera,Boualem Benatallah,Wil M. P. van der Aalst,Axel Martens,Kunal Verma,Fabio Casati,Ali Arsanjani
Li Xiong,Mudhakar Srivatsa
Yanbo Han,Bernhard Holtkamp,Elisabetta Di Nitto
Akhil Kumar,J. Leon Zhao,Wil M. P. van der Aalst
Zhengwei Qi,Feilong Tang,Jian Cao
Marco Aiello,Florian Rosenberg,Marco Pistore,Alexander Lazovik,Vincenzo D'Andrea
Ingo Melzer,Mario Jeckle
Rongzeng Cao,Chunhua Tian,Juhnyoung Lee
Zhenhua Duan,Zhile Zou
Andreas Wombacher,Stanislav Pokraev,Marlon Dumas,Manfred Reichert,Stefanie Rinderle,Elisabetta Di Nitto,Kunal Verma,Fabio Casati
Thao Nguyen,Liangzhao Zeng
Harald Meyer,Dominik Kuropka
Jian Cao,Feilong Tang,Ying Li,Linpeng Huang
Aad P. A. van Moorsel,Dan Martin,Fabio Casati,Vladimir Tosic,Savas Parastatidis,Carlos Molina-Jimenez
Dickson K. W. Chiu,Ho-fung Leung,Patrick C. K. Hung,P. Radha Krishna
Salima Benbernou,Liangzhao Zeng,Boualem Benatallah
Nirmit Desai,Pietro Mazzoleni,Ashok U. Mallya
Jin Baek Kim,Ajit K. Patankar
Peter F. Linington,Bryan Wood,David H. Akehurst,Joao Paulo A. Almeida
Yan Wang,Kwei-Jay Lin,Chi-Hung Chi
Fabio Casati,Wil M. P. van der Aalst,Axel Martens,Daniela Grigori,Boualem Benatallah
Vanish Talwar,Qinyi Wu
Kerry Raymond,David Hearnden,Alistair P. Barros
Marcello La Rosa,Marlon Dumas,Wil M. P. van der Aalst
Wil M. P. van der Aalst,Alexander Dreiling,Boualem Benatallah,Stefanie Rinderle,Guido Schimm,Mohsen Rouached,Alistair P. Barros,Boudewijn F. van Dongen,David Edmond,Hajo A. Reijers,Manfred Reichert,Marc Voorhoeve,Marlon Dumas,Claude Godart
Hajo A. Reijers,Boudewijn F. van Dongen,Michael zur Muehlen
Florian Rosenberg,Chirine Ghedira,Zakaria Maamar
Zongxia Du,Jinpeng Huai
Wei Tan,Ru Fang,Fangyan Rao
Jun Shen,Shuai Yuan
Norman W. Y. Shao,Jen-Yao Chung
Nageswara Rao Chinta,Hemant K. Jain
Nacer Boudjlida,Claude Godart
Ru Fang,Fangyan Rao,Zhile Zou
Juhnyoung Lee,Richard Goodwin,Simon S. Y. Shim,Jen-Yao Chung,Dongkyu Kim,Xun Yi,Chunhua Tian
Yue Zhang,Tao Yu,Xin Zhang,Kwei-Jay Lin
Haiqi Liang,Xin Zhang,Shyh-Kwei Chen,Liangzhao Zeng
Mohsen Rouached,Claude Godart
Maria Luisa Villani,Elisabetta Di Nitto
Marc Lohmann,Jochen Malte Kuster
Abdelkarim Erradi,Srinivas Padmanabhuni,Vladimir Tosic
Tetsuo Hasegawa,Massimo Paolucci
Maria-Eugenia Iacob,Pascal van Eck,Andries Stam,Dick A. C. Quartel,Joao Paulo A. Almeida,Marc M. Lankhorst
Fangyan Rao,Ying Li
Kunal Verma,Richard Goodwin,Manfred Reichert,Michal Zaremba,Farshad Hakimpour
Marlon Dumas,Boualem Benatallah,Zakaria Maamar,Liangzhao Zeng,David Edmond,Alistair P. Barros
Yelena Yesha,Soon Ae Chun
Jurgen Hofer,Dumitru Roman
Elisabetta Di Nitto,Claude Godart
Pu Liu,Madhusudhan Govindaraju,Robert van Engelen
Ulrich Kuster,Michael Klein,Michal Zaremba,Birgitta Konig-Ries
Stanislav Pokraev,Manfred Reichert,Pascal van Eck,Nikolay K. Diakov,Dick A. C. Quartel
Jan-Ming Ho,Kwei-Jay Lin
Andrew Byde,Michael Yearworth
Birgitta Konig-Ries,Michael Klein
Madhusudhan Govindaraju,Robert van Engelen
Luis Ferreira Pires,Maarten Wegdam,Dick A. C. Quartel,Joao Paulo A. Almeida
Changzhou Wang,Guijun Wang
Walter Binder,Zakaria Maamar
Andries Stam,Marc M. Lankhorst
Chirine Ghedira,Zakaria Maamar
Mao Chen,Richard Goodwin
Xiao Liu,Haiyue Li
Konstantinos A. Tarabanis,Tomas Vitvar
Fangchun Yang,Li Li
Zakaria Maamar,Boualem Benatallah
Pradeep K. Ray,Boualem Benatallah
Hemant K. Jain,Liang-Jie Zhang
Ashish Kundu,Girish Chafle,Arun Kumar
Chengfei Liu,Marek Kowalkiewicz,Li Li
Ali Arsanjani,Liang-Jie Zhang
Marc M. Lankhorst,David H. Akehurst
Feilong Tang,Ying Li
Soe-Tsyr Yuan,Kwei-Jay Lin
Yazhe Tang,Vladimir Tosic
Manfred Reichert,Dick A. C. Quartel,Shazia Wasim Sadiq,Sarita Bassil,Stefanie Rinderle
Dick A. C. Quartel,Joao Paulo A. Almeida
Olivera Marjanovic,Claude Godart
Gang Zhou,Shuai Yuan
Simon S. Y. Shim,Kwei-Jay Lin,Jen-Yao Chung
Brahim Medjahed,Boualem Benatallah
Wei Shi,Ying Li
Liang-Jie Zhang,Jen-Yao Chung,Haifei Li,J. Leon Zhao,Frank E. Ferrante,Mario Jeckle,Patrick C. K. Hung
Vladimir Tosic,Patrick C. K. Hung
Mathias Salle,David Trastour
Wenbing Zhao,Firat Kart
Shazia Wasim Sadiq,Michael zur Muehlen,Claude Godart
Hui Su,Jen-Yao Chung
Kwei-Jay Lin,Tao Yu,Jen-Yao Chung
Ying Li,Xin Zhang,Linpeng Huang
Alexander Dreiling,Christian Janiesch
Dongkyu Kim,Hyunja Lee
M. Omair Shafiq,Michal Zaremba,Tomas Vitvar
Jen-Yao Chung,Boualem Benatallah,Haifei Li,Shyh-Kwei Chen,Liangzhao Zeng,Jun-Jang Jeng,Yinong Chen,Kuo-Ming Chao
Shyh-Kwei Chen,Xin Zhang,Jun-Jang Jeng,Liangzhao Zeng,Pawan Chowdhary
Sarita Bassil,Stefanie Rinderle,Morad Benyoucef
Tao Yu,Jun-Jang Jeng
Haifei Li,Jun-Jang Jeng,Patrick C. K. Hung
Patrick C. K. Hung,Jun-Jang Jeng,Ho-fung Leung,Guijun Wang
Pawan Chowdhary,Jun-Jang Jeng,Liangzhao Zeng,Kamal Bhattacharya
Xin Zhang,Liangzhao Zeng
Girish Chafle,Arun Kumar
Pascal van Eck,Joao Paulo A. Almeida
Lorenzo Martino,Federica Paci
Boualem Benatallah,Vincenzo D'Andrea,Liangzhao Zeng,Daniela Grigori,Jun-Jang Jeng,David Edmond,Axel Martens,Claude Godart
Savas Parastatidis,Paul Greenfield
Bryan Wood,Joao Paulo A. Almeida
Klaus-Peter Eckert,Motohisa Funabashi
Michal Zaremba,Massimo Paolucci,Tomas Vitvar
Michael Zapf,Steffen Bleul
Cagdas Evren Gerede,Firat Kart,Kamal Bhattacharya
Ajit K. Patankar,J. Leon Zhao
Michael Weiss,Vincenzo D'Andrea
Soon Ae Chun,Christof Bornhovd,Pietro Mazzoleni
Yinong Chen,Bingnan Xiao
Daniela Grigori,Claude Godart
Joao Paulo A. Almeida,Maarten Wegdam
Liangzhao Zeng,Jun-Jang Jeng
J. Leon Zhao,Michael zur Muehlen
Boudewijn F. van Dongen,Guido Schimm
Claude Godart,Michael zur Muehlen
Stefanie Rinderle,Morad Benyoucef
